city,country,latitude,longitude,date,cloudiness,humidity,max_temp,windspeed
Sennar,SD,13.5691,33.5672,1651192344,6,17,86.97,9.17
Paso de los Toros,UY,-32.8167,-56.5167,1651192345,0,63,47.88,8.59
Opuwo,NA,-18.0607,13.84,1651192345,93,38,72.99,2.1
Kisaran,ID,2.9845,99.6158,1651192346,53,91,78.58,3.24
Magdalena,PH,14.1999,121.429,1651192346,44,63,86.36,10.58
Shimoda,JP,34.6667,138.95,1651192347,100,82,61.16,16.64
Nome,US,64.5011,-165.4064,1651192347,100,87,40.1,17.27
East London,ZA,-33.0153,27.9116,1651192347,0,45,68.14,8.93
Andilamena,MG,-17.0167,48.5833,1651192348,53,88,59.16,4.21
Severo-Kuril'sk,RU,50.6789,156.125,1651192348,91,91,35.22,16.4
Bluff,NZ,-46.6,168.3333,1651192349,9,71,58.8,4.38
Nampula,MZ,-15.1165,39.2666,1651192349,20,88,66.15,8.05
Ribeira Grande,PT,38.5167,-28.7,1651192349,75,94,63.0,25.32
Lorengau,PG,-2.0226,147.2712,1651192350,91,67,85.48,2.01
Gillette,US,44.2911,-105.5022,1651192350,75,70,54.52,12.66
Lüderitz,NA,-26.6481,15.1594,1651192351,5,77,58.57,8.03
Aswān,EG,24.0934,32.907,1651192351,0,12,85.3,5.75
Paragominas,BR,-2.9667,-47.4833,1651192351,100,96,72.9,3.09
Vestmannaeyjar,IS,63.4427,-20.2734,1651192352,100,83,46.04,3.53
Vestmanna,FO,62.1564,-7.1664,1651192352,100,87,40.12,2.3
Kalamare,BW,-22.9337,26.5703,1651192353,0,61,55.62,3.62
Salalah,OM,17.0151,54.0924,1651192353,20,79,84.29,3.44
Maţāy,EG,28.419,30.7792,1651192353,41,17,74.32,5.48
Camden,US,39.7835,-74.9663,1651192354,0,21,53.69,3.0
Sept-Îles,CA,50.2001,-66.3821,1651192354,100,84,35.06,11.5
Bukachacha,RU,52.9833,116.9167,1651192355,100,37,37.67,11.63
Donskoye,RU,45.4552,41.9741,1651192355,100,67,55.53,12.71
Saint Paul Harbor,US,57.79,-152.4072,1651192355,70,78,40.98,14.7
Katsuura,JP,35.1333,140.3,1651192356,100,87,62.28,15.61
Ponta do Sol,PT,32.6667,-17.1,1651192356,100,81,64.71,4.47
Hilo,US,19.7297,-155.09,1651192356,40,76,80.33,14.97
Kaitangata,NZ,-46.2817,169.8464,1651192357,0,69,55.22,2.8
Vila Velha,BR,-20.3297,-40.2925,1651192357,20,92,76.95,2.3
Flinders,AU,-34.5833,150.8552,1651192257,52,77,78.06,5.99
Amahai,ID,-3.3333,128.9167,1651192358,73,72,83.16,0.54
Mahajanga,MG,-15.7167,46.3167,1651192358,20,88,75.22,2.3
Matara,LK,5.9485,80.5353,1651192359,87,83,78.98,5.06
Nānākuli,US,21.3906,-158.1547,1651192359,75,52,84.15,14.97
Kamenka,RU,51.3223,42.7678,1651192360,98,64,43.05,6.49
Shelburne,CA,44.0787,-80.2041,1651192176,0,50,36.9,6.38
Storforshei,NO,66.4043,14.5233,1651192360,20,86,26.38,3.44
Moscow,RU,55.7522,37.6156,1651192110,100,73,36.23,3.89
Faya,SA,18.3851,42.4509,1651192361,0,60,59.11,5.06
Butaritari,KI,3.0707,172.7902,1651192361,100,77,82.09,16.15
Longyearbyen,SJ,78.2186,15.6401,1651192361,20,61,6.64,16.11
Bariloche,AR,-41.1456,-71.3082,1651192362,20,74,29.95,2.3
